Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22pF,C_0603_1608Metric,123.240000,-191.910000,270.000000,bottom
C2,22pF,C_0603_1608Metric,114.900000,-191.900000,90.000000,bottom
C3,100nF,C_0603_1608Metric,120.650000,-165.650000,0.000000,bottom
C4,1uF,C_0603_1608Metric,112.050000,-170.275000,270.000000,bottom
C5,100nF,C_0603_1608Metric,117.400000,-168.800000,90.000000,bottom
C6,100nF,C_0603_1608Metric,112.550000,-185.800000,270.000000,bottom
C7,1uF,C_0603_1608Metric,103.650000,-162.500000,180.000000,bottom
C8,100nF,C_0603_1608Metric,110.075000,-170.275000,90.000000,bottom
C9,100nF,C_0603_1608Metric,108.050000,-172.525000,0.000000,bottom
C10,100nF,C_0603_1608Metric,114.775000,-185.800000,270.000000,bottom
C11,100nF,C_0603_1608Metric,106.475000,-181.450000,315.000000,bottom
C12,100nF,C_0603_1608Metric,124.251992,-180.301992,225.000000,bottom
C13,100nF,C_0603_1608Metric,115.500000,-168.800000,90.000000,bottom
C14,100nF,C_0603_1608Metric,120.450000,-173.375000,90.000000,bottom
C15,1uF,C_0603_1608Metric,104.600000,-156.725000,0.000000,bottom
C16,1uF,C_0603_1608Metric,108.050000,-174.050000,0.000000,bottom
D00,D,D_SOD-123,60.775000,-91.375000,90.000000,bottom
D01,D,D_SOD-123,80.275000,-88.850000,90.000000,bottom
D02,D,D_SOD-123,99.975000,-87.425000,90.000000,bottom
D03,D,D_SOD-123,119.700000,-87.275000,90.000000,bottom
D04,D,D_SOD-123,139.350000,-88.275000,90.000000,bottom
D05,D,D_SOD-123,158.900000,-90.550000,90.000000,bottom
D06,D,D_SOD-123,178.350000,-93.950000,90.000000,bottom
D10,D,D_SOD-123,70.950000,-110.100000,90.000000,bottom
D11,D,D_SOD-123,90.375000,-108.050000,90.000000,bottom
D12,D,D_SOD-123,109.900000,-107.280000,90.000000,bottom
D13,D,D_SOD-123,129.460000,-107.710000,90.000000,bottom
D14,D,D_SOD-123,148.860000,-109.410000,90.000000,bottom
D15,D,D_SOD-123,168.180000,-112.380000,90.000000,bottom
D20,D,D_SOD-123,53.010000,-133.990000,90.000000,bottom
D21,D,D_SOD-123,72.040000,-133.990000,90.000000,bottom
D22,D,D_SOD-123,100.620000,-129.210000,90.000000,bottom
D23,D,D_SOD-123,119.690000,-129.210000,90.000000,bottom
D24,D,D_SOD-123,138.730000,-129.210000,90.000000,bottom
D25,D,D_SOD-123,167.320000,-134.020000,90.000000,bottom
D26,D,D_SOD-123,186.350000,-134.020000,90.000000,bottom
D31,D,D_SOD-123,72.040000,-153.050000,90.000000,bottom
D32,D,D_SOD-123,100.620000,-148.310000,90.000000,bottom
D33,D,D_SOD-123,119.690000,-148.310000,90.000000,bottom
D34,D,D_SOD-123,138.730000,-148.280000,90.000000,bottom
D35,D,D_SOD-123,167.300000,-153.050000,90.000000,bottom
D36,D,D_SOD-123,186.370000,-153.050000,90.000000,bottom
D41,D,D_SOD-123,72.040000,-172.120000,90.000000,bottom
D44,D,D_SOD-123,157.790000,-172.130000,90.000000,bottom
D45,D,D_SOD-123,176.840000,-176.900000,90.000000,bottom
D46,D,D_SOD-123,195.880000,-176.900000,90.000000,bottom
D51,D,D_SOD-123,72.060000,-191.180000,90.000000,bottom
D55,D,D_SOD-123,162.540000,-195.940000,90.000000,bottom
D56,D,D_SOD-123,186.360000,-195.930000,90.000000,bottom
F1,500mA,Fuse_1206_3216Metric,108.575000,-72.535000,270.000000,bottom
J1,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,113.800000,-61.550000,0.000000,bottom
K00,ESC,Kailh_MX_Socket,53.720000,-88.070000,349.500000,bottom
K01,7,Kailh_MX_Socket,73.590000,-85.020000,353.000000,bottom
K02,8,Kailh_MX_Socket,93.660000,-83.180000,356.500000,bottom
K03,9,Kailh_MX_Socket,113.770000,-82.560000,0.000000,bottom
K04,0,Kailh_MX_Socket,133.890000,-83.160000,3.500000,bottom
K05,-,Kailh_MX_Socket,153.940000,-85.030000,7.000000,bottom
K06,=,Kailh_MX_Socket,173.860000,-88.070000,10.500000,bottom
K10,1,Kailh_MX_Socket,64.020000,-106.620000,350.750000,bottom
K11,2,Kailh_MX_Socket,83.840000,-104.070000,354.450000,bottom
K12,3,Kailh_MX_Socket,103.790000,-102.760000,358.150000,bottom
K13,4,Kailh_MX_Socket,123.780000,-102.760000,1.850000,bottom
K14,5,Kailh_MX_Socket,143.720000,-104.050000,5.550000,bottom
K15,6,Kailh_MX_Socket,163.530000,-106.630000,9.250000,bottom
K20,CAPS,Kailh_MX_Socket,47.110000,-129.280000,0.000000,bottom
K21,TAB,Kailh_MX_Socket,66.140000,-129.290000,0.000000,bottom
K22,Q,Kailh_MX_Socket,94.730000,-124.530000,0.000000,bottom
K23,W,Kailh_MX_Socket,113.780000,-124.530000,0.000000,bottom
K24,E,Kailh_MX_Socket,132.830000,-124.530000,0.000000,bottom
K25,R,Kailh_MX_Socket,161.410000,-129.290000,0.000000,bottom
K26,T,Kailh_MX_Socket,180.460000,-129.290000,0.000000,bottom
K31,LALT,Kailh_MX_Socket,66.150000,-148.340000,0.000000,bottom
K32,A,Kailh_MX_Socket,94.730000,-143.580000,0.000000,bottom
K33,S,Kailh_MX_Socket,113.780000,-143.580000,0.000000,bottom
K34,D,Kailh_MX_Socket,132.830000,-143.580000,0.000000,bottom
K35,F,Kailh_MX_Socket,161.410000,-148.340000,0.000000,bottom
K36,G,Kailh_MX_Socket,180.460000,-148.340000,0.000000,bottom
K41,LSHIFT,Kailh_MX_Socket,66.160000,-167.400000,0.000000,bottom
K44,V,Kailh_MX_Socket,151.870000,-167.390000,0.000000,bottom
K45,B,Kailh_MX_Socket,170.920000,-172.152500,0.000000,bottom
K46,P,Kailh_MX_Socket,189.970000,-172.152500,0.000000,bottom
K51,LCTRL,Kailh_MX_Socket,66.140000,-186.450000,0.000000,bottom
K55,C,Kailh_MX_Socket,156.632500,-191.202500,0.000000,bottom
K56,SPACE,Kailh_MX_Socket,180.445000,-191.202500,0.000000,bottom
R1,1k,R_0603_1608Metric,119.550000,-157.400000,90.000000,bottom
R2,1k,R_0603_1608Metric,111.475000,-182.400000,180.000000,bottom
R3,5k1,R_0603_1608Metric,110.900000,-69.810000,270.000000,bottom
R4,5k1,R_0603_1608Metric,116.675000,-69.810000,270.000000,bottom
R5,27,R_0603_1608Metric,114.550000,-163.200000,270.000000,bottom
R6,27,R_0603_1608Metric,113.000000,-163.200000,90.000000,bottom
R7,1k,R_0603_1608Metric,117.050000,-185.775000,90.000000,bottom
SW1,SW_PUSH,SW_TACTILE_SMD,133.250000,-160.075000,180.000000,bottom
SW2,SW_PUSH,SW_TACTILE_SMD,133.270000,-170.060000,0.000000,bottom
U1,W25Q128JVS,SOIC-8_5.23x5.23mm_P1.27mm,123.325000,-160.175000,180.000000,bottom
U2,USBLC6-2SC6,SOT-23-6,113.800000,-70.385000,270.000000,bottom
U3,RP2040,RP2040-QFN-56,114.975000,-177.100000,270.000000,bottom
U4,XC6206PxxxMR,SOT-23,105.375000,-159.600000,270.000000,bottom
Y1,XTAL_GND,Crystal_SMD_3225-4Pin_3.2x2.5mm,119.000000,-191.975000,0.000000,bottom
REF**,JLC-PartNumberMarker,JLC-PartNumberMarker,92.470000,-160.100000,0.000000,top
